fonte,registro_id,codigo_ibge,municipio,uf,orgao_razao_social,data_referencia,valor_global,objeto,eixo_id,subeixo_id,keywords_hit,estagio
PNCP,17733643000147-2-000370/2025,3138401,Leopoldina,MG,MUNICIPIO DE LEOPOLDINA,2025-08-08,25616.0,"O objeto deste instrumento é a contratação microempresas - ME, empresas de pequeno porte - EPP ou equiparadas para aquisição de Bandeiras Oficiais (do Brasil, do Estado de Minas Gerais e do Município de Leopoldina), para atender as demandas do Gabinete do Prefeito e da Secretaria Municipal de Educação nos eventos Oficiais relacionados a Atos Cívicos, nas creches e escolas da Rede Municipal, de acordo com as especificações e quantitativos constantes no Termo de Referência.",primeira_infancia,creche_pre_escola,creches,contratado
PNCP,01298975000100-2-000631/2025,5200308,Alexânia,GO,MUNICIPIO DE ALEXANIA,2025-08-01,13000.0,"CONTRATO DE PRESTAÇÃO DE SERVIÇOS DE MONITORIA DE TRANSPORTE ESCOLAR,  ITEM 03, DO CREDENCIAMENTO N° 05/25, DISPONIBILIZANDO ATÉ 200H MENSAIS, JUNTO A SME, O PRESENTE CONTRATO TERÁ VIGENCIA ATÉ 31/12/2025.",busca_ativa_escolar,transporte_escolar,transporte escolar,contratado
PNCP,75380071000166-2-000061/2025,4122602,Rondon,PR,MUNICIPIO DE RONDON,2025-08-29,6125.0,"Aquisicao de Generos Alimenticios oriundos da Agricultura Familiar e do Empreendedor Familiar Rural, ou de suas organizacoes, que serao destinados ao fornecimento de alimentacao nas instituicoes de Educacao Basica da Rede Publica de Ensino do Municipio, em atendimento ao Programa Nacional de Alimentacao Escolar (PNAE).",seguranca_alimentar,alimentacao_escolar,alimentacao escolar;pnae,contratado
PNCP,75380071000166-2-000061/2025,4122602,Rondon,PR,MUNICIPIO DE RONDON,2025-08-29,6125.0,"Aquisicao de Generos Alimenticios oriundos da Agricultura Familiar e do Empreendedor Familiar Rural, ou de suas organizacoes, que serao destinados ao fornecimento de alimentacao nas instituicoes de Educacao Basica da Rede Publica de Ensino do Municipio, em atendimento ao Programa Nacional de Alimentacao Escolar (PNAE).",seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,12207403000195-2-000017/2025,2704203,Limoeiro de Anadia,AL,MUNICIPIO DE LIMOEIRO DE ANADIA,2025-07-25,2775378.22,"Contratação de empresa especializada para executar os serviços de engenharia para construção de uma Creche  Proinfância Tipo 02 - Padrão FNDE, no Município de Limoeiro de Anadia - AL, conforme Termo de Compromisso Nº 962691/2024/FNDE/CAIXA.",primeira_infancia,creche_pre_escola,creche,contratado
PNCP,13805528000180-2-000133/2025,2921005,Mata de São João,BA,MUNICIPIO DE MATA DE SAO JOAO,2025-08-22,13225.0,"Aquisição de Gêneros Alimentícios da Agricultura Familiar e de Empreendedor Familiar Rural ou de suas Organizações
para atender as demandas da alimentação escolar da rede pública municipal de ensino de Mata de São João/Ba,
durante o ano letivo de 2025, a serem custeados com recursos do programa Nacional de Alimentação Escolar –
PNAE/FNDE e Recursos Próprios.",seguranca_alimentar,alimentacao_escolar,alimentacao escolar;pnae,contratado
PNCP,13805528000180-2-000133/2025,2921005,Mata de São João,BA,MUNICIPIO DE MATA DE SAO JOAO,2025-08-22,13225.0,"Aquisição de Gêneros Alimentícios da Agricultura Familiar e de Empreendedor Familiar Rural ou de suas Organizações
para atender as demandas da alimentação escolar da rede pública municipal de ensino de Mata de São João/Ba,
durante o ano letivo de 2025, a serem custeados com recursos do programa Nacional de Alimentação Escolar –
PNAE/FNDE e Recursos Próprios.",seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,07993439000101-2-000184/2025,2309300,Nova Russas,CE,MUNICIPIO DE NOVA RUSSAS,2025-04-24,169500.0,"AQUISIÇÃO DE MATERIAIS DE HIGIENIZAÇÃO, DESCARTAVEIS E HIGIENE PESSOAL PARA ATENDER AS NECESSIDADES DAS UNIDADES DE EDUCAÇÃO INFANTIL DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE NOVA RUSSAS",primeira_infancia,creche_pre_escola,educacao infantil,contratado
PNCP,76178011000128-2-000108/2025,4119301,Pinhão,PR,MUNICIPIO DE PINHAO,2025-08-05,1908.0,"AQUISIÇÃO DE MATERIAIS DIVERSOS COMO: EXPEDIENTE, DIDÁTICO, BRINQUEDOS, MÓVEIS E AFINS, PARA ATENDER AS NECESSIDADES DAS ESCOLAS ATENDIDAS PELO PROGRAMA ESCOLA EM TEMPO INTEGRAL.",busca_ativa_escolar,programas_permanencia,tempo integral,contratado
PNCP,87711503000153-2-000125/2025,4316105,Ronda Alta,RS,MUNICIPIO DE RONDA ALTA,2025-09-26,8400.0,"Aquisição de gêneros alimentícios da Agricultura Familiar e do Empreendedor Familiar Rural, para o atendimento ao Programa Nacional de Alimentação Escolar – PNAE.",seguranca_alimentar,alimentacao_escolar,alimentacao escolar;pnae,contratado
