codigo_ibge,municipio,uf,eixo_id,n_contratos,valor_total,subeixos_atingidos,fontes,nivel_documentacao,rotulo_nivel
1100049,CACOAL,RO,busca_ativa_escolar,1,13059434.21,programas_permanencia,Transferegov,1,registro_isolado
1100049,CACOAL,RO,primeira_infancia,1,4015480.68,creche_pre_escola,Transferegov,1,registro_isolado
1100056,Cerejeiras,RO,primeira_infancia,1,2499713.41,creche_pre_escola,PNCP,1,registro_isolado
1100064,COLORADO DO OESTE,RO,primeira_infancia,1,3659453.97,creche_pre_escola,Transferegov,1,registro_isolado
1100072,CORUMBIARA,RO,primeira_infancia,1,6529741.81,creche_pre_escola,Transferegov,1,registro_isolado
1100106,GUAJARÁ-MIRIM,RO,primeira_infancia,1,4015480.68,creche_pre_escola,Transferegov,1,registro_isolado
1100106,GUAJARÁ-MIRIM,RO,seguranca_alimentar,1,600000.0,equipamentos_san,Transferegov,1,registro_isolado
1100114,JARU,RO,primeira_infancia,1,3659454.43,creche_pre_escola,Transferegov,1,registro_isolado
1100130,Machadinho D'Oeste,RO,busca_ativa_escolar,2,52765498.8,transporte_escolar,PNCP,1,registro_isolado
1100148,NOVA BRASILÂNDIA D'OESTE,RO,busca_ativa_escolar,1,250309.68,transporte_escolar,Transferegov,1,registro_isolado
1100148,NOVA BRASILÂNDIA D'OESTE,RO,primeira_infancia,1,6294066.25,creche_pre_escola,Transferegov,1,registro_isolado
1100189,PIMENTA BUENO,RO,busca_ativa_escolar,1,9290388.42,programas_permanencia,Transferegov,1,registro_isolado
1100189,PIMENTA BUENO,RO,primeira_infancia,2,7673866.45,creche_pre_escola,Transferegov,1,registro_isolado
1100205,PORTO VELHO,RO,primeira_infancia,4,16916280.32,creche_pre_escola,Transferegov,2,registros_recorrentes
1100288,ROLIM DE MOURA,RO,busca_ativa_escolar,1,13059982.41,programas_permanencia,Transferegov,1,registro_isolado
1100288,ROLIM DE MOURA,RO,primeira_infancia,2,10314521.09,creche_pre_escola,Transferegov,1,registro_isolado
1100304,VILHENA,RO,primeira_infancia,2,10186719.790000001,creche_pre_escola,Transferegov,1,registro_isolado
1100304,Vilhena,RO,primeira_infancia,1,2400000.0,creche_pre_escola,PNCP,1,registro_isolado
1100320,SÃO MIGUEL DO GUAPORÉ,RO,busca_ativa_escolar,1,13059419.49,programas_permanencia,Transferegov,1,registro_isolado
